№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
40,プクリン,Wigglytuff,140,70,45,85,50,45,435,ノーマル,フェアリー,"メロメロボディ
かちき
(おみとおし)",1.0,12.0,50,1:3,196,70,HP+3,妖精,2805,80万,0.25
41,ズバット,Zubat,40,45,35,30,40,55,245,どく,ひこう,"せいしんりょく
(すりぬけ)",0.8,7.5,255,1:1,49,70,素早+1,飛行,4080,100万,0.5
42,ゴルバット,Golbat,75,80,70,65,75,90,455,どく,ひこう,"せいしんりょく
(すりぬけ)",1.6,55.0,90,1:1,159,70,素早+2,飛行,4080,100万,0.5
43,ナゾノクサ,Oddish,45,50,55,75,65,30,320,くさ,どく,"ようりょくそ
(にげあし)",0.5,5.4,255,1:1,64,70,特攻+1,植物,5355,106万,0.5
44,クサイハナ,Gloom,60,65,70,85,75,40,395,くさ,どく,"ようりょくそ
(あくしゅう)",0.8,8.6,120,1:1,138,70,特攻+2,植物,5355,106万,0.5
45,ラフレシア,Vileplume,75,80,85,110,90,50,490,くさ,どく,"ようりょくそ
(ほうし)",1.2,18.6,45,1:1,221,70,特攻+3,植物,5355,106万,0.5
46,パラス,Paras,35,70,55,45,55,25,285,むし,くさ,"ほうし
かんそうはだ
(しめりけ)",0.3,5.4,190,1:1,57,70,攻撃+1,"虫
植物",5355,100万,0.5
47,パラセクト,Parasect,60,95,80,60,80,30,405,むし,くさ,"ほうし
かんそうはだ
(しめりけ)",1.0,29.5,75,1:1,142,70,"攻撃+2
防御+1","虫
植物",5355,100万,0.5
48,コンパン,Venonat,60,55,50,40,55,45,305,むし,どく,"ふくがん
いろめがね
(にげあし)",1.0,30.0,190,1:1,61,70,特防+1,虫,5355,100万,0.5
49,モルフォン,Venomoth,70,65,60,90,75,90,450,むし,どく,"りんぷん
いろめがね
(ミラクルスキン)",1.5,12.5,75,1:1,158,70,"特攻+1
素早+1",虫,5355,100万,0.5
50,ディグダ,Diglett,10,55,25,35,45,95,265,じめん,,"すながくれ
ありじごく
(すなのちから)",0.2,0.8,255,1:1,53,70,素早+1,陸上,5355,100万,0.5
050-1,ディグダA,Diglett,10,55,30,35,45,90,265,じめん,はがね,"すながくれ
カーリーヘアー
(すなのちから)",0.2,1.0,255,1:1,53,70,素早+1,陸上,5355,100万,0.5
51,ダグトリオ,Dugtrio,35,100,50,50,70,120,425,じめん,,"すながくれ
ありじごく
(すなのちから)",0.7,33.3,50,1:1,149,70,素早+2,陸上,5355,100万,0.5
051-1,ダグトリオA,Dugtrio,35,100,60,50,70,110,425,じめん,はがね,"すながくれ
カーリーヘアー
(すなのちから)",0.7,66.6,50,1:1,149,70,攻撃+2,陸上,5355,100万,0.5
52,ニャース,Meowth,40,45,35,40,40,90,290,ノーマル,,"ものひろい
テクニシャン
(きんちょうかん)",0.4,4.2,255,1:1,58,70,素早+1,陸上,5355,100万,0.5
052-1,ニャースA,Meowth,40,35,35,50,40,90,290,あく,,"ものひろい
テクニシャン
(びびり)",0.4,4.2,255,1:1,58,70,素早+1,陸上,5355,100万,0.5
53,ペルシアン,Persian,65,70,60,65,65,115,440,ノーマル,,"じゅうなん
テクニシャン
(きんちょうかん)",1.0,32.0,90,1:1,154,70,素早+2,陸上,5355,100万,0.5
053-1,ペルシアンA,Persian,65,60,60,75,65,115,440,あく,,"ファーコート
テクニシャン
(びびり)",1.1,33.0,90,1:1,154,70,素早+2,陸上,5355,100万,0.5
54,コダック,Psyduck,50,52,48,65,50,55,320,みず,,"しめりけ
ノーてんき
(すいすい)",0.8,19.6,190,1:1,64,70,特攻+1,"水中1
陸上",5355,100万,0.5
55,ゴルダック,Golduck,80,82,78,95,80,85,500,みず,,"しめりけ
ノーてんき
(すいすい)",1.7,76.6,75,1:1,175,70,特攻+2,"水中1
陸上",5355,100万,0.5
56,マンキー,Mankey,40,80,35,35,45,70,305,かくとう,,"やるき
いかりのつぼ
(まけんき)",0.5,28.0,190,1:1,61,70,攻撃+1,陸上,5355,100万,0.5
57,オコリザル,Primeape,65,105,60,60,70,95,455,かくとう,,"やるき
いかりのつぼ
(まけんき)",1.0,32.0,75,1:1,159,70,攻撃+2,陸上,5355,100万,0.5
58,ガーディ,Growlithe,55,70,45,70,50,60,350,ほのお,,"いかく
もらいび
(せいぎのこころ)",0.7,19.0,190,1:1,70,70,攻撃+1,陸上,5355,125万,0.5
59,ウインディ,Arcanine,90,110,80,100,80,95,555,ほのお,,"いかく
もらいび
(せいぎのこころ)",1.9,155.0,75,1:1,194,70,攻撃+2,陸上,5355,125万,0.5
60,ニョロモ,Poliwag,40,50,40,40,40,90,300,みず,,"ちょすい
しめりけ
(すいすい)",0.6,12.4,255,1:1,60,70,素早+1,水中1,5355,106万,0.5
61,ニョロゾ,Poliwhirl,65,65,65,50,50,90,385,みず,,"ちょすい
しめりけ
(すいすい)",1.0,20.0,120,1:1,135,70,素早+2,水中1,5355,106万,0.5
62,ニョロボン,Poliwrath,90,95,95,70,90,70,510,みず,かくとう,"ちょすい
しめりけ
(すいすい)",1.3,54.0,45,1:1,230,70,防御+3,水中1,5355,106万,0.5
63,ケーシィ,Abra,25,20,15,105,55,90,310,エスパー,,"シンクロ
せいしんりょく
(マジックガード)",0.9,19.5,200,3:1,62,70,特攻+1,人型,5355,106万,0.75
64,ユンゲラー,Kadabra,40,35,30,120,70,105,400,エスパー,,"シンクロ
せいしんりょく
(マジックガード)",1.3,56.5,100,3:1,140,70,特攻+2,人型,5355,106万,0.75
65,フーディン,Alakazam,55,50,45,135,95,120,500,エスパー,,"シンクロ
せいしんりょく
(マジックガード)",1.5,48.0,50,3:1,225,70,特攻+3,人型,5355,106万,0.75
065-1,メガフーディン,Mega Alakazam,55,50,65,175,105,150,600,エスパー,,トレース,1.2,48.0,50,3:1,270,70,特攻+3,人型,5355,106万,0.75
66,ワンリキー,Machop,70,80,50,35,35,35,305,かくとう,,"こんじょう
ノーガード
(ふくつのこころ)",0.8,19.5,180,3:1,61,70,攻撃+1,人型,5355,106万,0.75
67,ゴーリキー,Machoke,80,100,70,50,60,45,405,かくとう,,"こんじょう
ノーガード
(ふくつのこころ)",1.5,70.5,90,3:1,142,70,攻撃+2,人型,5355,106万,0.75
68,カイリキー,Machamp,90,130,80,65,85,55,505,かくとう,,"こんじょう
ノーガード
(ふくつのこころ)",1.6,130.0,45,3:1,227,70,攻撃+3,人型,5355,106万,0.75
69,マダツボミ,Bellsprout,50,75,35,70,30,40,300,くさ,どく,"ようりょくそ
(くいしんぼう)",0.7,4.0,255,1:1,60,70,攻撃+1,植物,5355,106万,0.5
70,ウツドン,Weepinbell,65,90,50,85,45,55,390,くさ,どく,"ようりょくそ
(くいしんぼう)",1.0,6.4,120,1:1,137,70,攻撃+2,植物,5355,106万,0.5
71,ウツボット,Victreebel,80,105,65,100,70,70,490,くさ,どく,"ようりょくそ
(くいしんぼう)",1.7,15.5,45,1:1,221,70,攻撃+3,植物,5355,106万,0.5
72,メノクラゲ,Tentacool,40,40,35,50,100,70,335,みず,どく,"クリアボディ
ヘドロえき
(あめうけざら)",0.9,45.5,190,1:1,67,70,特防+1,水中3,5355,125万,0.5
73,ドククラゲ,Tentacruel,80,70,65,80,120,100,515,みず,どく,"クリアボディ
ヘドロえき
(あめうけざら)",1.6,55.0,60,1:1,180,70,特防+2,水中3,5355,125万,0.5
74,イシツブテ,Geodude,40,80,100,30,30,20,300,いわ,じめん,"いしあたま
がんじょう
(すながくれ)",0.4,20.0,255,1:1,60,70,防御+1,鉱物,4080,106万,0.5
074-1,イシツブテA,Geodude,40,80,100,30,30,20,300,いわ,でんき,"じりょく
がんじょう
(エレキスキン)",0.4,20.3,255,1:1,60,70,防御+1,鉱物,4080,106万,0.5
75,ゴローン,Graveler,55,95,115,45,45,35,390,いわ,じめん,"いしあたま
がんじょう
(すながくれ)",1.0,105.0,120,1:1,137,70,防御+2,鉱物,4080,106万,0.5
075-1,ゴローンA,Graveler,55,95,115,45,45,35,390,いわ,でんき,"じりょく
がんじょう
(エレキスキン)",1.0,110.0,120,1:1,137,70,防御+2,鉱物,4080,106万,0.5
76,ゴローニャ,Golem,80,120,130,55,65,45,495,いわ,じめん,"いしあたま
がんじょう
(すながくれ)",1.4,300.0,45,1:1,223,70,防御+3,鉱物,4080,106万,0.5
076-1,ゴローニャA,Golem,80,120,130,55,65,45,495,いわ,じめん,"じりょく
がんじょう
(エレキスキン)",1.7,316.0,45,1:1,223,70,防御+3,鉱物,4080,106万,0.5
77,ポニータ,Ponyta,50,85,55,65,65,90,410,ほのお,,"にげあし
もらいび
(ほのおのからだ)",1.0,30.0,190,1:1,82,70,素早+1,陸上,5355,100万,0.5
78,ギャロップ,Rapidash,65,100,70,80,80,105,500,ほのお,,"にげあし
もらいび
(ほのおのからだ)",1.7,95.0,60,1:1,175,70,素早+2,陸上,5355,100万,0.5
79,ヤドン,Slowpoke,90,65,65,40,40,15,315,みず,エスパー,"どんかん
マイペース
(さいせいりょく)",1.2,36.0,190,1:1,63,70,HP+1,"怪獣
水中1",5355,100万,0.5
80,ヤドラン,Slowbro,95,75,110,100,80,30,490,みず,エスパー,"どんかん
マイペース
(さいせいりょく)",1.6,78.5,75,1:1,172,70,防御+2,"怪獣
水中1",5355,100万,0.5
080-1,メガヤドラン,Mega Slowbro,95,75,180,130,80,30,590,みず,エスパー,シェルアーマー,2.0,120.0,75,1:1,207,70,防御+2,"怪獣
水中1",5355,100万,0.5
81,コイル,Magnemite,25,35,70,95,55,45,325,でんき,はがね,"じりょく
がんじょう
(アナライズ)",0.3,6.0,190,不明,65,70,特攻+1,鉱物,5355,100万,
82,レアコイル,Magneton,50,60,95,120,70,70,465,でんき,はがね,"じりょく
がんじょう
(アナライズ)",1.0,60.0,60,不明,163,70,特攻+2,鉱物,5355,100万,
83,カモネギ,Farfetch’d,52,90,55,58,62,60,377,ノーマル,ひこう,"するどいめ
せいしんりょく
(まけんき)",0.8,15.0,45,1:1,132,70,攻撃+1,"飛行
陸上",5355,100万,0.5
84,ドードー,Doduo,35,85,45,35,35,75,310,ノーマル,ひこう,"にげあし
はやおき
(ちどりあし)",1.4,39.2,190,1:1,62,70,攻撃+1,飛行,5355,100万,0.5
85,ドードリオ,Dodrio,60,110,70,60,60,110,470,ノーマル,ひこう,"にげあし
はやおき
(ちどりあし)",1.8,85.2,45,1:1,165,70,攻撃+2,飛行,5355,100万,0.5
86,パウワウ,Seel,65,45,55,45,70,45,325,みず,,"あついしぼう
うるおいボディ
(アイスボディ)",1.1,90.0,190,1:1,65,70,特防+1,"水中1
陸上",5355,100万,0.5
87,ジュゴン,Dewgong,90,70,80,70,95,70,475,みず,こおり,"あついしぼう
うるおいボディ
(アイスボディ)",1.7,120.0,75,1:1,166,70,特防+2,"水中1
陸上",5355,100万,0.5
88,ベトベター,Grimer,80,80,50,40,50,25,325,どく,,"あくしゅう
ねんちゃく
(どくしゅ)",0.9,30.0,190,1:1,65,70,HP+1,不定形,5355,100万,0.5
088-1,ベトベターA,Grimer,80,80,50,40,50,25,325,どく,あく,"どくしゅ
くいしんぼう
(かがくのちから)",0.7,42.0,190,1:1,65,70,HP+1,不定形,5355,100万,0.5
89,ベトベトン,Muk,105,105,75,65,100,50,500,どく,,"あくしゅう
ねんちゃく
(どくしゅ)",1.2,30.0,75,1:1,175,70,"HP+1
攻撃+1",不定形,5355,100万,0.5
089-1,ベトベトンA,Muk,105,105,75,65,100,50,500,どく,あく,"どくしゅ
くいしんぼう
(かがくのちから)",1.0,52.0,75,1:1,175,70,"HP+1
攻撃+1",不定形,5355,100万,0.5
90,シェルダー,Shellder,30,65,100,45,25,40,305,みず,,"シェルアーマー
スキルリンク
(ぼうじん)",0.3,4.0,190,1:1,61,70,防御+1,水中3,5355,125万,0.5
91,パルシェン,Cloyster,50,95,180,85,45,70,525,みず,こおり,"シェルアーマー
スキルリンク
(ぼうじん)",1.5,132.5,60,1:1,184,70,防御+2,水中3,5355,125万,0.5
92,ゴース,Gastly,30,35,30,100,35,80,310,ゴースト,どく,ふゆう,1.3,0.1,190,1:1,62,70,特攻+1,不定形,5355,106万,0.5
93,ゴースト,Haunter,45,50,45,115,55,95,405,ゴースト,どく,ふゆう,1.6,0.1,90,1:1,142,70,特攻+2,不定形,5355,106万,0.5
94,ゲンガー,Gengar,60,65,60,130,75,110,500,ゴースト,どく,のろわれボディ,1.5,40.5,45,1:1,225,70,特攻+3,不定形,5355,106万,0.5
094-1,メガゲンガー,Mega Gengar,60,65,80,170,95,130,600,ゴースト,どく,かげふみ,1.4,40.5,45,1:1,270,70,特攻+3,不定形,5355,106万,0.5
95,イワーク,Onix,35,45,160,30,45,70,385,いわ,じめん,"いしあたま
がんじょう
(くだけるよろい)",8.8,210.0,45,1:1,77,70,防御+1,鉱物,6630,100万,0.5
96,スリープ,Drowzee,60,48,45,43,90,42,328,エスパー,,"ふみん
よちむ
(せいしんりょく)",1.0,32.4,190,1:1,66,70,特防+1,人型,5355,100万,0.5
97,スリーパー,Hypno,85,73,70,73,115,67,483,エスパー,,"ふみん
よちむ
(せいしんりょく)",1.6,75.6,75,1:1,169,70,特防+2,人型,5355,100万,0.5
98,クラブ,Krabby,30,105,90,25,25,50,325,みず,,"かいりきバサミ
シェルアーマー
(ちからずく)",0.4,6.5,225,1:1,65,70,攻撃+1,水中3,5355,100万,0.5
99,キングラー,Kingler,55,130,115,50,50,75,475,みず,,"かいりきバサミ
シェルアーマー
(ちからずく)",1.3,60.0,60,1:1,166,70,攻撃+2,水中3,5355,100万,0.5
100,ビリリダマ,Voltorb,40,30,50,55,55,100,330,でんき,,"ぼうおん
せいでんき
(ゆうばく)",0.5,10.4,190,不明,66,70,素早+1,鉱物,5355,100万,
101,マルマイン,Electrode,60,50,70,80,80,150,490,でんき,,"ぼうおん
せいでんき
(ゆうばく)",1.2,66.6,60,不明,172,70,素早+2,鉱物,5355,100万,
102,タマタマ,Exeggcute,60,40,80,60,45,40,325,くさ,エスパー,"ようりょくそ
(しゅうかく)",0.4,25.0,90,1:1,65,70,防御+1,植物,5355,125万,0.5
103,ナッシー,Exeggutor,95,95,85,125,75,55,530,くさ,エスパー,"ようりょくそ
(しゅうかく)",2.0,120.0,45,1:1,186,70,特攻+2,植物,5355,125万,0.5
103-1,ナッシーA,Exeggutor,95,105,85,125,75,45,530,くさ,ドラゴン,"おみとおし
(しゅうかく)",10.9,415.6,45,1:1,186,70,特攻+2,植物,5355,125万,0.5
104,カラカラ,Cubone,50,50,95,40,50,35,320,じめん,,"いしあたま
ひらいしん
(カブトアーマー)",0.4,6.5,190,1:1,64,70,防御+1,怪獣,5355,100万,0.5
105,ガラガラ,Marowak,60,80,110,50,80,45,425,じめん,,"いしあたま
ひらいしん
(カブトアーマー)",1.0,45.0,75,1:1,149,70,防御+2,怪獣,5355,100万,0.5
105-1,ガラガラA,Marowak,60,80,110,50,80,45,425,ほのお,ゴースト,"のろわれボディ
ひらいしん
(いしあたま)",1.0,34.0,75,1:1,149,70,防御+2,怪獣,5355,100万,0.5
106,サワムラー,Hitmonlee,50,120,53,35,110,87,455,かくとう,,"じゅうなん
すてみ
(かるわざ)",1.5,49.8,45,♂,159,70,攻撃+2,人型,6630,100万,1.0
107,エビワラー,Hitmonchan,50,105,79,35,110,76,455,かくとう,,"するどいめ
てつのこぶし
(せいしんりょく)",1.4,50.2,45,♂,159,70,特防+2,人型,6630,100万,1.0
108,ベロリンガ,Lickitung,90,55,75,60,75,30,385,ノーマル,,"マイペース
どんかん
(ノーてんき)",1.2,65.5,45,1:1,77,70,HP+2,怪獣,5355,100万,0.5
109,ドガース,Koffing,40,65,95,60,45,35,340,どく,,ふゆう,0.6,1.0,190,1:1,68,70,防御+1,不定形,5355,100万,0.5
110,マタドガス,Weezing,65,90,120,85,70,60,490,どく,,ふゆう,1.2,9.5,60,1:1,172,70,防御+2,不定形,5355,100万,0.5
111,サイホーン,Rhyhorn,80,85,95,30,30,25,345,じめん,いわ,"ひらいしん
いしあたま
(すてみ)",1.0,115.0,120,1:1,69,70,防御+1,"怪獣
陸上",5355,125万,0.5
112,サイドン,Rhydon,105,130,120,45,45,40,485,じめん,いわ,"ひらいしん
いしあたま
(すてみ)",1.9,120.0,60,1:1,170,70,攻撃+2,"怪獣
陸上",5355,125万,0.5
113,ラッキー,Chansey,250,5,5,35,105,50,450,ノーマル,,"しぜんかいふく
てんのめぐみ
(いやしのこころ)",1.1,34.6,30,♀,395,140,HP+2,妖精,10455,80万,0.0
114,モンジャラ,Tangela,65,55,115,100,40,60,435,くさ,,"ようりょくそ
リーフガード
(さいせいりょく)",1.0,35.0,45,1:1,87,70,防御+1,植物,5355,100万,0.5
115,ガルーラ,Kangaskhan,105,95,80,40,80,90,490,ノーマル,,"はやおき
きもったま
(せいしんりょく)",2.2,80.0,45,♀,172,70,HP+2,怪獣,5355,100万,0.0
115-1,メガガルーラ,Mega Kangaskhan,105,125,100,60,100,100,590,ノーマル,,おやこあい,2.2,100.0,45,♀,207,70,HP+2,怪獣,5355,100万,0.0
116,タッツー,Horsea,30,40,70,70,25,60,295,みず,,"すいすい
スナイパー
(しめりけ)",0.4,8.0,225,1:1,59,70,特攻+1,"水中1
ドラゴン",5355,100万,0.5
117,シードラ,Seadra,55,65,95,95,45,85,440,みず,,"どくのトゲ
スナイパー
(しめりけ)",1.2,25.0,75,1:1,154,70,"防御+1
特攻+1","水中1
ドラゴン",5355,100万,0.5
118,トサキント,Goldeen,45,67,60,35,50,63,320,みず,,"すいすい
みずのベール
(ひらいしん)",0.6,15.0,225,1:1,64,70,攻撃+1,水中2,5355,100万,0.5
